=== Tier 1 (345) ===
name                  L10   L15   L20   L25   L30   L35
Zigzagoon             120   179   239   299   359   389
Wurmple               138   207   276   345   414   448
Lotad                 143   215   287   359   431   467
Seedot                143   215   287   359   431   467
Taillow               187   281   374   468   562   609
Wingull               187   281   374   468   562   609
Ralts                 128   192   256   320   385   417
Surskit               195   292   389   487   584   633
Shroomish             199   298   397   497   597   646
Slakoth               250   376   501   627   752   815
Nincada               188   282   377   471   565   613
Whismur               160   241   321   401   482   522
Makuhita              199   299   399   499   599   649
Azurill               81    121   162   203   243   264
Nosepass              247   370   494   617   741   802
Skitty                180   271   361   451   542   587
Aron                  333   500   666   833   1000  1083
Meditite              169   253   338   422   507   549
Electrike             241   361   482   602   723   783
Gulpin                213   320   427   534   641   695
Carvanha              250   375   500   625   750   813
Wailmer               372   558   744   931   1117  1210
Numel                 265   398   530   663   796   862
Spoink                340   510   681   851   1021  1106
Trapinch              323   484   646   807   969   1049
Cacnea                314   471   628   785   942   1020
Swablu                202   304   405   507   608   659
Barboach              202   303   404   505   606   656
Corphish              312   468   624   781   937   1015
Baltoy                193   290   386   483   580   628
Lileep                328   492   656   821   985   1067
Anorith               392   588   784   981   1177  1275
Feebas                59    88    118   147   177   192
Shuppet               254   381   508   635   762   826
Duskull               171   257   342   428   514   556
Wynaut                123   185   246   308   370   400
Snorunt               220   330   441   551   661   716
Spheal                239   359   479   599   719   779
Clamperl              323   485   646   808   970   1051
Bagon                 292   438   584   730   877   950
Beldum                244   366   488   610   732   793
Turtwig               300   451   601   752   902   977
Chimchar              239   358   478   597   717   776
Piplup                270   405   541   676   811   879
Starly                175   262   350   437   525   569
Bidoof                175   263   351   439   526   570
Kricketot             91    137   183   229   275   298
Shinx                 216   324   433   541   649   704
Budew                 212   318   424   530   636   689
Cranidos              467   701   935   1169  1403  1520
Shieldon              219   329   439   549   659   714
Burmy (Plant)         114   171   228   286   343   372
Combee                116   174   233   291   349   379
Buizel                264   395   527   659   791   857
Cherubi               237   355   474   593   711   771
Shellos (East_sea)    286   429   572   715   859   930
Drifloon              302   452   603   754   905   981
Buneary               320   480   640   800   960   1040
Glameow               232   349   465   581   698   756
Chingling             252   378   504   630   756   819
Stunky                290   436   581   726   872   944
Bronzor               141   212   282   353   424   459
Bonsly                332   497   663   829   995   1078
Mime Jr.              275   413   551   689   827   896
Happiny               79    119   159   199   239   259
Gible                 280   420   560   700   840   911
Munchlax              489   734   979   1224  1469  1591
Riolu                 248   372   496   621   745   807
Hippopotas            346   520   693   866   1040  1126
Skorupi               252   379   505   631   758   821
Croagunk              237   356   474   593   712   771
Finneon               242   364   485   607   728   789
Mantyke               316   475   633   791   950   1029
Snover                293   439   586   733   879   953
Snivy                 210   315   420   525   630   683
Tepig                 272   408   544   680   816   884
Oshawott              262   393   525   656   787   853
Patrat                194   292   389   486   584   632
Lillipup              228   341   455   569   683   740
Purrloin              189   284   379   474   568   616
Pansage               238   358   477   597   716   776
Pansear               238   358   477   597   716   776
Panpour               238   358   477   597   716   776
Munna                 288   433   577   722   866   938
Pidove                209   314   419   524   629   681
Blitzle               218   327   436   545   655   709
Roggenrola            305   458   611   764   916   993
Woobat                254   381   508   636   763   826
Drilbur               350   526   701   876   1052  1139
Timburr               334   501   668   836   1003  1087
Tympole               207   310   414   518   621   673
Sewaddle              244   366   488   611   733   794
Venipede              172   258   345   431   517   561
Cottonee              170   255   340   425   511   553
Petilil               258   387   517   646   775   840
Sandile               259   389   518   648   778   843
Darumaka              368   552   736   920   1105  1197
Dwebble               311   466   621   777   933   1010
Scraggy               351   526   701   877   1052  1140
Yamask                245   368   491   613   736   798
Tirtouga              382   573   764   956   1147  1242
Archen                475   713   951   1189  1427  1546
Trubbish              250   375   501   626   751   814
Zorua (Hisuian)       303   455   607   759   911   987
Zorua                 296   445   593   741   890   964
Minccino              216   324   432   540   648   702
Gothita               237   356   474   593   712   771
Solosis               348   522   696   870   1044  1131
Ducklett              211   317   423   529   635   688
Vanillite             259   389   519   649   779   844
Deerling (Autumn)     286   429   573   716   859   931
Karrablast            299   448   597   747   896   971
Foongus               244   366   488   611   733   794
Frillish              319   479   639   799   959   1039
Joltik                256   385   513   641   770   834
Ferroseed             234   351   467   585   702   760
Klink                 238   358   477   597   716   776
Tynamo                200   300   400   500   600   650
Elgyem                354   530   707   884   1061  1150
Litwick               252   378   504   630   757   820
Axew                  349   524   698   873   1048  1135
Cubchoo               268   402   536   670   804   871
Shelmet               205   307   410   512   615   666
Mienfoo               354   532   709   887   1064  1153
Golett                301   451   601   752   902   978
Pawniard              367   550   734   918   1101  1193
Rufflet               382   573   764   955   1146  1242
Vullaby               323   484   646   807   969   1050
Deino                 267   400   534   667   801   867
Larvesta              384   576   768   960   1152  1248
Chespin               276   414   552   690   829   898
Fennekin              258   387   516   645   774   839
Froakie               248   372   496   621   745   807
Bunnelby              131   197   263   329   395   428
Fletchling            197   295   394   493   591   641
Scatterbug            115   173   231   289   347   376
(Archipelago)
Litleo                365   547   730   912   1095  1186
Flabebe (Blue)        267   401   535   669   803   870
Skiddo                317   476   635   794   952   1032
Pancham               382   573   764   955   1146  1241
Espurr                320   480   640   800   960   1040
Honedge               355   533   711   889   1067  1156
Spritzee              317   476   635   794   953   1032
Swirlix               298   447   596   746   895   970
Inkay                 231   346   461   577   693   750
Binacle               236   354   472   590   708   767
Skrelp                267   401   535   668   802   869
Clauncher             274   411   548   685   822   891
Helioptile            232   348   464   580   697   755
Tyrunt                422   633   843   1054  1266  1371
Amaura                348   521   695   869   1043  1130
Goomy                 244   366   488   610   732   793
Phantump              283   425   567   709   851   922
Pumpkaboo (Average)   310   465   620   775   931   1008
Pumpkaboo (Large)     316   474   632   790   948   1028
Pumpkaboo (Small)     305   457   609   762   915   991
Pumpkaboo (Super)     318   476   635   794   953   1033
Bergmite              308   462   616   771   925   1002
Noibat                161   242   323   404   485   526
Rowlet                265   398   531   664   797   863
Litten                259   389   519   648   778   843
Popplio               285   427   570   713   855   927
Pikipek               225   337   450   563   675   731
Yungoos               217   325   433   542   650   705
Grubbin               246   369   492   615   738   800
Crabrawler            348   522   695   870   1044  1131
Cutiefly              220   331   441   551   662   717
Rockruff              237   355   474   592   711   770
Mareanie              243   364   486   608   729   790
Mudbray               491   737   983   1229  1474  1597
Dewpider              174   261   348   435   522   565
Fomantis              181   271   362   453   543   589
Morelull              259   389   519   649   778   843
Salandit              282   423   565   706   847   918
Stufful               344   517   689   862   1034  1120
Bounsweet             110   164   219   274   329   357
Wimpod                118   178   237   297   356   386
Sandygast             313   470   626   783   940   1018
Type: Null            703   1055  1406  1758  2110  2286
Jangmo-o              242   363   484   605   727   787
Cosmog                100   150   200   250   300   325
Poipole               423   635   846   1058  1270  1375
Meltan                268   403   537   672   806   873
Grookey               273   410   546   683   820   888
Scorbunny             276   414   552   690   828   897
Sobble                276   414   552   690   828   897
Skwovet               234   352   469   587   704   763
Rookidee              161   242   323   404   485   525
Blipbug               81    122   162   203   244   264
Nickit                174   261   349   436   523   567
Gossifleur            163   244   326   407   489   530
Wooloo                172   258   344   430   516   559
Chewtle               248   372   497   621   745   807
Yamper                193   290   386   483   580   628
Rolycoly              147   221   295   368   442   479
Applin                174   260   347   434   521   565
Silicobra             272   408   544   680   816   884
Arrokuda              224   336   448   560   672   729
Toxel                 177   266   354   443   532   576
Sizzlipede            263   395   527   659   790   856
Clobbopus             287   431   574   718   862   934
Sinistea (Antique)    287   431   575   719   863   935
Hatenna               213   320   427   534   640   694
Impidimp              198   298   397   497   596   646
Milcery               205   307   410   512   615   666
Snom                  125   188   251   314   376   408
Cufant                351   526   702   878   1053  1141
Dreepy                187   281   375   469   563   610
Kubfu                 438   657   877   1096  1315  1425
Sprigatito            254   382   509   636   764   827
Fuecoco               284   426   568   710   852   923
Quaxly                270   405   540   675   811   878
Lechonk               179   268   357   447   536   581
Tarountula            136   205   273   342   410   444
Nymble                142   213   284   355   426   462
Pawmi                 152   228   304   381   457   495
Tandemaus             221   332   442   553   664   719
Fidough               246   370   493   616   740   801
Smoliv                211   317   423   529   635   687
Nacli                 241   362   482   603   724   784
Charcadet             179   268   358   447   537   582
Tadbulb               226   339   452   565   678   735
Wattrel               204   305   407   509   611   662
Maschiff              358   537   716   895   1074  1163
Shroodle              231   346   462   577   693   751
Bramblin              216   325   433   542   650   704
Toedscool             261   391   522   653   783   849
Capsakid              243   365   487   609   731   792
Rellor                201   302   402   503   604   654
Flittle               170   256   341   427   512   555
Tinkatink             213   319   426   532   639   692
Wiglett               136   205   273   341   410   444
Finizen               216   324   432   540   648   702
Varoom                287   431   575   719   863   935
Glimmet               433   649   866   1082  1299  1407
Greavard              255   382   509   637   764   828
Cetoddle              329   493   657   822   986   1069
Frigibax              316   474   632   790   949   1028
Poltchageist          287   431   575   719   863   935
(Artisan)

=== Tier 2 (116) ===
name                  L10   L15   L20   L25   L30   L35
Ivysaur               439   659   879   1098  1318  1428
Charmeleon            426   640   853   1067  1280  1387
Wartortle             382   573   764   955   1146  1241
Metapod               103   155   207   259   311   337
Kakuna                99    149   199   248   298   323
Pidgeotto             302   453   605   756   907   983
Pikachu               234   351   468   585   702   760
Nidorina              333   500   667   834   1000  1084
Nidorino              356   534   712   890   1069  1158
Clefairy              291   437   583   729   875   948
Jigglypuff            172   259   345   431   518   561
Golbat                515   772   1030  1287  1545  1673
Gloom                 434   651   869   1086  1303  1412
Primeape              599   899   1199  1498  1798  1948
Poliwhirl             363   545   726   908   1090  1181
Kadabra               535   802   1070  1338  1605  1739
Machoke               529   794   1058  1323  1588  1720
Weepinbell            414   621   828   1036  1243  1346
Graveler              493   740   987   1233  1480  1604
Magneton              653   980   1306  1633  1960  2123
Haunter               509   763   1018  1272  1527  1654
Rhydon                844   1267  1689  2111  2534  2745
Chansey               308   463   617   771   926   1003
Seadra                546   820   1093  1366  1640  1776
Electabuzz            612   919   1225  1531  1838  1991
Magmar                629   943   1257  1572  1886  2043
Dragonair             461   692   923   1153  1384  1500
Bayleef               373   559   745   932   1118  1212
Quilava               426   640   853   1067  1280  1387
Croconaw              446   668   891   1114  1337  1449
Togetic               442   662   883   1104  1325  1436
Flaaffy               390   586   781   977   1172  1270
Marill                105   157   210   262   315   341
Skiploom              243   365   487   609   731   792
Ursaring              779   1169  1558  1948  2338  2533
Piloswine             615   923   1230  1538  1846  1999
Porygon2              716   1074  1432  1790  2148  2327
Pupitar               457   686   915   1144  1373  1487
Grovyle               432   648   863   1079  1295  1403
Combusken             426   639   852   1066  1279  1386
Marshtomp             460   690   920   1151  1381  1496
Linoone               429   643   858   1072  1287  1394
Silcoon               131   197   262   328   394   427
Cascoon               131   197   262   328   394   427
Lombre                303   455   606   758   910   986
Nuzleaf               310   465   620   775   931   1008
Kirlia                241   362   483   604   725   785
Vigoroth              512   768   1025  1281  1537  1666
Loudred               337   505   674   842   1011  1095
Lairon                536   804   1073  1341  1609  1743
Roselia               485   728   970   1213  1456  1577
Vibrava               310   466   621   777   932   1010
Dusclops              409   613   817   1022  1227  1329
Sealeo                443   664   886   1108  1329  1440
Shelgon               530   795   1060  1325  1590  1722
Metang                445   668   891   1113  1336  1447
Grotle                491   737   982   1228  1474  1597
Monferno              405   607   810   1012  1215  1316
Prinplup              440   660   880   1100  1320  1430
Staravia              330   495   661   826   991   1074
Luxio                 380   571   761   951   1142  1237
Gabite                487   730   973   1217  1460  1582
Servine               369   554   738   923   1108  1200
Pignite               499   749   998   1248  1498  1623
Dewott                450   675   900   1126  1351  1464
Herdier               407   611   815   1019  1223  1325
Tranquill             369   554   739   923   1108  1201
Boldore               529   793   1058  1323  1587  1720
Gurdurr               567   851   1134  1418  1702  1843
Palpitoad             355   533   711   889   1067  1156
Swadloon              350   525   700   875   1050  1137
Whirlipede            288   433   577   721   866   938
Krokorok              362   543   724   905   1087  1177
Gothorita             413   620   827   1034  1241  1344
Duosion               524   787   1049  1311  1574  1705
Vanillish             410   615   820   1025  1230  1333
Klang                 479   719   959   1199  1439  1559
Eelektrik             444   665   887   1109  1331  1442
Lampent               441   662   883   1103  1324  1435
Fraxure               584   876   1168  1460  1753  1899
Bisharp               752   1128  1504  1880  2256  2444
Zweilous              477   716   955   1193  1432  1551
Quilladin             445   667   890   1112  1335  1446
Braixen               470   705   940   1175  1410  1528
Frogadier             422   633   844   1055  1266  1371
Fletchinder           376   565   753   942   1130  1224
Spewpa (Archipelago)  111   167   223   279   335   363
Floette (Blue)        394   591   788   985   1182  1281
Doublade              642   963   1284  1606  1927  2087
Sliggoo               531   797   1063  1329  1594  1727
Dartrix               446   669   892   1115  1339  1450
Torracat              441   662   883   1104  1325  1435
Brionne               490   735   980   1225  1470  1592
Trumbeak              379   568   758   947   1137  1231
Charjabug             439   658   878   1097  1317  1427
Steenee               185   278   370   463   556   602
Hakamo-o              436   654   872   1090  1308  1417
Cosmoem               197   296   394   493   592   641
Thwackey              487   731   975   1219  1462  1584
Raboot                473   709   946   1182  1419  1537
Drizzile              492   737   983   1229  1475  1598
Corvisquire           348   522   696   870   1044  1131
Dottler               257   386   515   644   773   837
Carkol                388   582   776   970   1164  1261
Hattrem               422   632   843   1054  1265  1371
Morgrem               369   553   738   923   1107  1200
Drakloak              426   638   851   1064  1277  1384
Floragato             434   651   868   1085  1302  1410
Crocalor              504   755   1007  1259  1511  1637
Quaxwell              460   690   920   1150  1380  1495
Pawmo                 330   495   659   824   990   1072
Dolliv                367   550   734   918   1101  1193
Naclstack             328   493   657   821   986   1068
Tinkatuff             332   499   665   831   998   1081
Arctibax              546   819   1091  1364  1637  1774
Dipplin               623   934   1246  1557  1869  2025

=== Tier 3 (120) ===
name                  L10   L15   L20   L25   L30   L35
Venusaur              719   1078  1437  1797  2156  2336
Charizard             765   1147  1529  1912  2295  2486
Blastoise             649   973   1297  1622  1946  2108
Butterfree            474   711   948   1185  1422  1541
Beedrill              479   719   958   1198  1438  1557
Pidgeot               556   835   1113  1391  1670  1809
Raichu                571   856   1141  1427  1713  1855
Nidoqueen             655   982   1309  1637  1964  2128
Nidoking              676   1014  1352  1691  2029  2198
Clefable              641   961   1281  1602  1922  2082
Wigglytuff            498   746   995   1244  1493  1618
Vileplume             674   1011  1349  1686  2023  2192
Poliwrath             682   1022  1363  1704  2045  2216
Alakazam              809   1214  1618  2023  2428  2630
Machamp               810   1215  1621  2026  2431  2634
Victreebel            638   958   1277  1596  1916  2075
Golem                 782   1172  1563  1954  2345  2540
Gengar                760   1140  1520  1900  2280  2470
Dragonite             1014  1520  2027  2534  3041  3295
Meganium              633   950   1267  1584  1901  2059
Typhlosion            765   1147  1529  1912  2295  2486
Feraligatr            756   1134  1512  1891  2269  2458
Crobat                698   1047  1396  1746  2095  2270
Ampharos              755   1132  1509  1887  2265  2453
Bellossom             598   897   1196  1495  1794  1944
Azumarill             407   611   815   1019  1223  1325
Politoed              644   966   1288  1611  1933  2094
Jumpluff              421   632   843   1053  1264  1370
Kingdra               697   1045  1394  1743  2091  2266
Blissey               722   1083  1444  1805  2166  2346
Tyranitar             1026  1538  2051  2564  3077  3334
Sceptile              728   1092  1456  1821  2185  2367
Blaziken              752   1129  1505  1881  2258  2446
Swampert              788   1182  1576  1970  2365  2562
Beautifly             456   684   912   1140  1368  1482
Dustox                310   465   620   775   930   1007
Ludicolo              610   914   1219  1524  1829  1982
Shiftry               611   917   1222  1528  1834  1986
Gardevoir             821   1231  1641  2052  2463  2668
Slaking               1189  1783  2378  2972  3567  3864
Exploud               615   923   1231  1539  1847  2001
Aggron                795   1192  1590  1988  2385  2584
Flygon                702   1053  1404  1756  2107  2282
Walrein               720   1080  1439  1799  2159  2339
Salamence             1001  1501  2002  2502  3003  3253
Metagross             1013  1520  2027  2534  3041  3294
Torterra              777   1166  1555  1944  2333  2527
Infernape             708   1062  1416  1770  2124  2301
Empoleon              768   1152  1536  1920  2305  2497
Staraptor             746   1119  1493  1866  2239  2426
Luxray                764   1146  1528  1910  2292  2483
Roserade              787   1180  1573  1967  2360  2557
Garchomp              1061  1591  2121  2652  3182  3447
Magnezone             851   1277  1703  2129  2555  2768
Rhyperior             998   1496  1995  2494  2993  3242
Electivire            816   1225  1633  2041  2450  2654
Magmortar             831   1247  1662  2078  2494  2702
Togekiss              887   1330  1774  2217  2661  2883
Mamoswine             884   1327  1769  2211  2654  2875
Porygon-Z             867   1301  1735  2169  2602  2819
Gallade               821   1231  1641  2052  2463  2668
Dusknoir              626   939   1252  1566  1879  2035
Serperior             597   895   1194  1492  1791  1940
Emboar                789   1183  1577  1972  2366  2563
Samurott              747   1121  1494  1868  2242  2429
Stoutland             748   1122  1496  1870  2244  2431
Unfezant              722   1082  1443  1804  2165  2346
Gigalith              858   1287  1717  2146  2575  2790
Conkeldurr            888   1331  1775  2219  2663  2885
Seismitoad            675   1013  1350  1688  2026  2195
Leavanny              680   1020  1360  1700  2041  2211
Scolipede             643   965   1286  1608  1930  2091
Krookodile            808   1211  1615  2019  2423  2625
Gothitelle            636   954   1272  1590  1908  2067
Reuniclus             775   1162  1549  1936  2324  2518
Vanilluxe             746   1119  1493  1866  2239  2426
Klinklang             695   1043  1391  1738  2086  2260
Eelektross            721   1082  1443  1804  2165  2345
Chandelure            868   1302  1736  2170  2604  2821
Haxorus               957   1436  1915  2394  2873  3112
Hydreigon             967   1451  1935  2419  2903  3144
Chesnaught            783   1174  1566  1958  2349  2545
Delphox               812   1217  1623  2029  2435  2638
Greninja              700   1050  1400  1750  2100  2275
Talonflame            577   866   1154  1443  1732  1876
Vivillon              480   721   961   1201  1442  1562
(Archipelago)
Florges (Blue)        860   1290  1720  2150  2580  2795
Aegislash (Shield)    394   591   789   986   1183  1282
Goodra                935   1402  1870  2337  2805  3039
Decidueye             733   1100  1467  1834  2201  2384
Incineroar            794   1191  1588  1986  2383  2582
Primarina             851   1276  1701  2127  2552  2765
Toucannon             709   1064  1418  1773  2128  2305
Vikavolt              827   1240  1653  2067  2480  2687
Tsareena              785   1178  1571  1964  2357  2553
Kommo-o               880   1321  1761  2201  2641  2862
Solgaleo              1083  1624  2165  2707  3249  3519
Lunala                1083  1624  2165  2707  3249  3519
Rillaboom             884   1326  1769  2211  2653  2874
Cinderace             800   1200  1600  2000  2400  2600
Inteleon              784   1176  1567  1959  2352  2547
Corviknight           646   969   1292  1615  1938  2100
Orbeetle              582   872   1163  1454  1745  1891
Coalossal             617   925   1233  1542  1850  2004
Hatterene             747   1121  1495  1869  2243  2429
Grimmsnarl            753   1130  1506  1883  2260  2448
Obstagoon (Galarian)  700   1050  1400  1750  2100  2275
Dragapult             941   1412  1882  2353  2824  3059
Ursaluna              1031  1546  2061  2577  3092  3350
Meowscarada           746   1120  1493  1866  2240  2426
Skeledirge            803   1204  1605  2007  2409  2609
Quaquaval             800   1199  1599  1999  2399  2599
Pawmot                694   1041  1388  1735  2082  2256
Arboliva              784   1176  1568  1961  2353  2549
Garganacl             716   1074  1431  1790  2148  2327
Tinkaton              589   884   1179  1474  1769  1916
Annihilape            869   1304  1738  2173  2608  2825
Kingambit             965   1447  1929  2412  2895  3136
Baxcalibur            946   1419  1892  2366  2839  3076
Hydrapple             860   1290  1719  2150  2580  2795

=== 2-Stage Final (256) ===
name                  L10   L15   L20   L25   L30   L35
Raticate (Alola)      440   661   881   1102  1322  1432
Raticate              448   672   896   1120  1344  1456
Fearow                520   780   1040  1300  1561  1691
Arbok                 500   749   999   1249  1499  1624
Sandslash (Alola)     640   959   1279  1599  1919  2079
Sandslash             624   935   1247  1559  1871  2027
Ninetales (Alola)     606   908   1211  1514  1817  1969
Ninetales             598   897   1195  1494  1793  1943
Parasect              483   724   966   1208  1449  1570
Venomoth              544   815   1087  1359  1631  1767
Dugtrio (Alola)       492   738   984   1230  1476  1599
Dugtrio               403   605   806   1008  1210  1310
Persian (Alola)       459   688   918   1147  1377  1492
Persian               436   655   873   1092  1310  1419
Golduck               644   967   1289  1611  1934  2095
Arcanine (Hisuian)    835   1253  1670  2088  2505  2714
Arcanine              803   1205  1606  2008  2410  2611
Tentacruel            637   955   1273  1592  1910  2069
Rapidash              647   971   1294  1618  1941  2103
Slowbro               670   1005  1340  1676  2011  2179
Slowbro (Galarian)    643   964   1285  1607  1929  2089
Dodrio                619   929   1239  1549  1858  2013
Dewgong               517   775   1033  1292  1551  1680
Muk                   728   1093  1457  1821  2186  2368
Cloyster              670   1005  1340  1675  2010  2178
Hypno                 545   818   1091  1364  1636  1773
Kingler               747   1121  1495  1868  2242  2429
Electrode (Hisuian)   562   843   1124  1405  1686  1827
Electrode             548   822   1096  1371  1645  1782
Exeggutor             799   1198  1597  1997  2396  2596
Marowak               476   714   952   1191  1429  1548
Hitmonlee             678   1017  1356  1695  2034  2204
Hitmonchan            611   917   1223  1529  1835  1988
Weezing               601   902   1202  1503  1804  1954
Seaking               565   848   1131  1414  1697  1838
Starmie               681   1021  1362  1702  2043  2213
Mr. Mime              582   874   1165  1456  1748  1893
Jynx                  672   1009  1345  1681  2018  2186
Gyarados              903   1355  1806  2258  2710  2935
Vaporeon              826   1239  1652  2065  2479  2685
Jolteon               764   1146  1528  1911  2293  2484
Flareon               803   1204  1605  2007  2408  2609
Omastar               737   1105  1473  1842  2210  2394
Kabutops              716   1074  1432  1790  2148  2327
Snorlax               856   1284  1712  2140  2568  2782
Furret                455   682   909   1137  1365  1478
Noctowl               527   791   1054  1318  1582  1714
Ledian                343   514   686   857   1029  1115
Ariados               459   688   918   1147  1377  1492
Lanturn               543   815   1086  1358  1630  1765
Xatu                  572   859   1145  1431  1718  1861
Sudowoodo             562   843   1123  1404  1686  1826
Sunflora              559   839   1119  1399  1679  1819
Quagsire              519   778   1037  1297  1556  1686
Espeon                841   1261  1682  2103  2523  2734
Umbreon               557   835   1113  1392  1671  1810
Slowking              670   1005  1340  1676  2011  2179
Slowking (Galarian)   718   1076  1435  1794  2153  2333
Wobbuffet             250   376   501   626   752   814
Forretress            598   897   1196  1496  1795  1945
Steelix               633   950   1266  1583  1900  2058
Granbull              671   1007  1343  1679  2014  2182
Scizor                795   1193  1590  1988  2386  2585
Magcargo              440   659   879   1099  1319  1429
Octillery             607   910   1214  1518  1821  1973
Mantine               550   825   1100  1376  1651  1789
Houndoom              694   1041  1389  1736  2083  2257
Donphan               799   1199  1598  1998  2398  2598
Hitmontop             564   845   1127  1409  1691  1832
Mightyena             501   751   1002  1252  1503  1628
Swellow               499   748   998   1247  1497  1622
Pelipper              556   834   1112  1390  1668  1807
Masquerain            595   893   1190  1488  1786  1934
Breloom               692   1038  1384  1730  2076  2249
Ninjask               512   768   1023  1279  1536  1663
Hariyama              745   1118  1490  1863  2236  2422
Delcatty              384   576   768   960   1152  1248
Medicham              366   549   733   916   1099  1191
Manectric             613   920   1227  1533  1840  1994
Swalot                514   772   1029  1287  1544  1673
Sharpedo              566   849   1132  1415  1698  1840
Wailord               592   888   1184  1481  1777  1925
Camerupt              574   860   1147  1434  1721  1865
Grumpig               622   933   1245  1556  1867  2023
Cacturne              601   901   1202  1503  1803  1954
Altaria               522   783   1044  1305  1566  1697
Whiscash              541   811   1082  1353  1623  1759
Crawdaunt             650   975   1300  1625  1950  2113
Claydol               513   769   1025  1282  1538  1667
Cradily               578   868   1157  1446  1736  1881
Armaldo               754   1130  1507  1884  2261  2450
Milotic               797   1195  1594  1993  2391  2591
Banette               602   903   1203  1504  1806  1956
Chimecho              592   888   1184  1481  1777  1925
Glalie                550   825   1100  1375  1650  1788
Huntail               614   921   1228  1535  1842  1995
Gorebyss              656   984   1312  1640  1968  2132
Bibarel               472   709   945   1181  1418  1536
Kricketune            426   639   852   1065  1278  1384
Rampardos             872   1308  1745  2181  2617  2835
