word,hardListHits
intractable,3
intrinsic,2
inure,3
invasive,1
inveigle,3
investiture,2
invigorate,1
inviolable,1
inviolate,2
invoke,1
ire,1
ironclad,1
irrefutable,1
irreverent,1
itinerary,2
jaundice,1
jejune,1
jeopardize,1
jettison,3
jingoism,2
jingoist,1
jucture,1
juggernaut,1
juncture,1
juxtapose,2
kinetic,2
knell,2
kowtow,1
kudos,1
lacerate,1
lachrymose,3
lambaste,1
lampoon,4
landmark,1
languish,2
lapidary,1
larceny,1
largess,2
lascivious,1
lassitude,3
laudable,2
lavish,3
lax,2
layperson,1
legerdemain,2
levee,1
levy,1
lexicography,1
liability,1
liberate,1
licentious,2
likewise,1
limpid,4
lionize,2
lissome,2
listless,2
litany,1
livid,1
loathe,1
log,1
lucrative,1
lugubrious,4
lull,2
lumber,1
lurid,1
machinate,1
machinations,1
maelstrom,2
magnanimity,1
malapropism,1
malediction,2
malfeasance,2
malign,1
malinger,2
malingerer,2
manacle,1
mar,2
marginalize,1
martinet,3
matriarch,1
maudlin,3
maunder,1
mawkish,1
mediate,1
melange,1
mellifluous,1
mendacity,2
mercenary,1
meretricious,2
meritocracy,1
meritorious,1
metamorphosis,1
metaphorical,1
metaphysical,1
meteoric,1
mettlesome,2
milieu,1
militate,2
mimic,1
mired,1
mirth,2
misanthropic,1
misattribute,1
misnomer,2
missive,2
modish,2
molt,2
momentary,1
monastic,2
monotony,1
morass,1
moratorium,1
moreover,1
mores,2
mulct,1
multifarious,2
mutiny,1
myopic,3
nadir,4
naive,2
narcissist,1
nebulous,1
nefarious,1
negate,2
negligent,2
neologism,2
neophyte,4
net,1
nettlesome,3
neutralize,1
nevertheless,1
nihilism,1
nimble,1
noble,1
noisome,3
nonchalant,2
nonplussed,1
nontrivial,1
normative,1
notoriety,1
noxious,2
nullify,1
numinous,1
numismatic,1
obeisance,1
obfuscate,2
objurgate,1
oblivious,1
obscure,2
obsolete,2
obstreperous,3
obstructionist,1
occlude,4
occult,1
offhand,1
officious,5
offset,1
omnipresent,1
opine,2
opprobrium,4
optimal,1
optimum,1
opulent,1
oration,1
orotund,2
orthodox,2
oscillate,1
ossify,4
ostensive,1
oust,1
outlandish,1
outstrip,2
overshadow,1
overt,2
overwrought,2
paean,1
painstaking,1
palaver,1
palimpsest,1
palpable,1
panacea,3
panache,3
panegyric,3
panoply,2
paradigmatic,1
paragon,5
pare,1
parenthetical,1
pariah,3
parley,2
parvenu,1
pastiche,3
pathogenic,1
patriarch,1
patronizing,1
peccadillo,3
peculiar,1
pecuniary,1
pedagogical,1
peddle,1
pedestrian,2
pejorative,2
penitent,2
pensive,1
penumbra,1
penurious,3
percipient,1
peregrinate,2
perfidy,1
perfunctory,5
perilous,1
peripatetic,3
pernicious,3
perquisite,1
perseverance,1
perspicacious,3
perspicacity,1
phalanx,2
phantasmagorical,1
philanthropist,1
philanthropy,1
philistine,4
phony,1
picayune,2
piety,1
pillory,1
pith,2
plaintive,1
plastic,2
plausible,1
plebeian,1
plebian,1
pliant,2
plucky,4
plutocracy,1
poise,1
polarize,2
polarized,1
politic,2
pollyannaish,1
polyglot,2
polymath,1
pomposity,1
ponderous,3
pontificate,1
populist,1
portend,1
portentous,1
posit,2
posthumous,1
potentate,2
pre-empt,1
preamble,2
precipitous,1
precis,1
preclude,1
precocious,2
predicament,1
predilection,3
predisposed,1
premeditate,1
prescience,1
prescient,2
presentiment,1
presumptive,1
pretense,1
pretentious,2
prevaricate,4
primacy,2
principled,1
probity,5
prodigy,1
proficient,1
profligate,3
profound,3
profundity,1
progenitor,1
prognostication,1
prohibitive,1
prolix,2
prolixity,1
prologue,1
promulgate,1
pronounced,1
prophetic,2
proscribe,3
proselytize,2
protean,1
provident,1
providential,2
provocative,1
prurient,1
puerile,4
pugilism,1
pugilist,1
puissance,1
pulchritude,2
punctilious,3
pungent,3
putrefy,1
pyrrhic,1
qualified,1
quarantine,1
quash,1
quibble,3
quiescent,4
quirky,1
quisling,1
quixotic,4
quotidian,2
raconteur,3
radical,1
raillery,1
ramification,1
rancorous,1
ranks,1
rapacious,1
rapprochement,1
rational,1
ravage,1
raze,1
reactant,1
reap,1
rebut,1
recant,3
recapitulate,1
recapitulation,1
reconcile,1
recrimination,1
recrudesce,2
recrudescent,1
redound,1
refine,1
refulgent,2
regress,1
reiterate,1
relent,1
relinquish,1
remote,1
renounce,2
repercussion,1
repertoire,2
replenish,1
repose,2
reprehensible,1
reprisal,1
repugnant,2
requite,2
resilient,1
resolution,2
respectively,1
restive,3
resurgent,1
retaliate,1
retrospective,1
revamp,1
reviler,1
rhapsodize,1
rhapsody,1
ribald,3
ridden,1
rife,1
rift,1
rigor,1
row,1
rudimentary,2
ruminate,2
rustic,1
sacrosanct,2
sadistic,1
sagacious,4
sage,2
salubrious,4
sangfroid,1
sardonic,3
sartorial,1
satiate,3
satirical,1
scathing,2
schadenfreude,1
scoff,1
scorn,1
scurvy,1
searchingly,1
secular,1
sedition,2
semantic,1
sensational,1
seraphic,2
serendipitous,1
sham,1
shirk,1
shrill,1
sibilant,1
simulacrum,1
simultaneous,1
skeptic,2
skirt,2
skullduggery,1
slack,1
slake,2
slander,1
slovenly,1
sluggish,1
sobriquet,2
solecism,3
solicitious,1
solicitous,3
solicitude,1
solidarity,1
somatic,1
somnolent,2
sophisticated,1
sophistry,2
soporific,4
sound,2
spartan,4
spearhead,1
spectrum,1
speculate,1
splenetic,1
sportive,2
squelch,2
stalwart,2
standing,1
stark,1
stasis,2
steeped,1
stern,1
stevedore,1
stifle,1
stigma,3
stigmatize,1
stingy,1
stinting,1
stratagem,1
strife,1
stringent,1
strut,2
subjective,2
subordinate,1
subservient,1
substantiate,2
subsume,1
subterfuge,2
subversive,1
subvert,1
succeeding,1
superficial,1
supersede,3
supple,1
supplicate,2
supposition,1
surfeit,4
surmise,1
surmount,1
surrogate,1
suspect,1
swindle,1
symbiosis,2
synchronous,1
syncopated,1
synoptic,2
syntax,1
table,1
tangent,1
tangible,1
tantalizing,1
tantamount,1
tedious,1
temerity,3
temperance,1
tempestuous,2
temporal,1
tendentious,3
tepid,1
terrestrial,1
thorough,1
timely,1
timorous,2
toady,2
token,1
tome,2
torpid,1
torpor,3
torrid,1
tortuous,3
tractable,3
transcend,1
transgression,3
transmute,1
treacherous,1
treacly,1
treatise,1
trifling,2
truculence,3
truncated,1
tumultuous,1
turbulent,1
turpitude,4
ubiquitious,1
ubiquitous,2
umbrage,4
unalloyed,1
unassailable,1
undercut,1
undermine,2
underscore,2
understated,1
unearth,1
unequivocal,1
unflappable,1
unforthcoming,1
universal,1
unprepossessing,1
unpropitious,1
unscrupulous,1
unsparing,1
unstinting,1
untempered,1
untenable,2
untrammeled,1
unviable,1
usury,2
utilitarian,1
utterly,1
vainglorious,1
valor,1
vanguard,1
variegated,1
vaunted,1
venal,1
venerated,1
verdant,2
verisimilar,1
verisimilitude,3
vernal,1
versatile,1
verve,1
via,1
vicissitude,3
vim,2
vintage,1
virtual,1
virulent,2
visionary,1
vitriol,2
vituperate,3
vivacious,1
wan,1
wary,3
wayward,1
weary,1
welter,2
whereas,1
whitewash,1
wily,3
winnow,1
winsome,1
woeful,1
xenophobia,1
xenophobic,1
yoke,1
zeal,1
zeitgeist,1
